TITLE	Wt_IP20_KPO4
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	06/09/28
TIME	13:40:22
SPECTROMETER/DATA SYSTEM	J-810
DELTAT	0
TUNITS	Temperature [C]
FIRSTT	25
LASTT	65
NPOINTST	9
DELTAX	-0.2
XUNITS	Wavelength [nm]
YUNITS	CD[mdeg]
YUNITS2	HT[V]
FIRSTX	260
LASTX	180
NPOINTS	401
XYDATA1	25	30	35	40	45	50	55	60	65	
251.4	-0.494437	-0.67144	-0.512672	-0.262082	-0.943831	-1.28512	-1.00815	-0.803561	-0.652048	
251.2	-0.533965	-0.651033	-0.693852	-0.571161	-0.990746	-1.08921	-0.748727	-0.91666	-0.571452	
251	-0.489368	-0.437567	-0.616092	-0.510605	-0.718233	-1.32301	-1.06297	-0.656181	-0.83421	
250.8	-0.612325	-0.53987	-0.297549	-0.747345	-0.723158	-1.12384	-0.771741	-0.782877	-0.729735	
250.6	-0.534567	-0.481851	-0.440126	-0.56241	-0.357724	-1.28066	-0.722845	-0.790053	-0.561862	
250.4	-0.490082	-0.606978	-0.466927	-0.582063	-0.724814	-0.853888	-0.765681	-0.922328	-0.81812	
250.2	-0.317491	-0.700537	-0.84606	-0.736366	-0.617815	-1.20734	-0.695226	-0.789337	-0.55491	
250	-0.643353	-0.504556	-0.671339	-0.550911	-0.742371	-1.07484	-1.0928	-0.756058	-0.745378	
249.8	-0.469965	-0.65146	-0.637616	-0.534355	-0.954951	-1.33551	-0.828889	-0.922032	-0.575531	
249.6	-0.564227	-0.721202	-0.50007	-0.76687	-0.766405	-1.29082	-1.05791	-0.714272	-0.593321	
249.4	-0.773454	-0.814653	-0.221985	-0.668105	-0.753626	-1.30413	-0.964113	-0.737984	-0.679033	
249.2	-0.72197	-0.613002	-0.706866	-0.558757	-1.03755	-1.45561	-1.13605	-0.745438	-0.949776	
249	-0.641975	-0.58033	-0.820151	-0.728185	-1.05127	-1.15327	-1.06291	-0.676044	-0.617459	
248.8	-0.801669	-0.712894	-0.744453	-0.894219	-0.783655	-1.13123	-1.38228	-0.706444	-0.699095	
248.6	-0.660187	-0.949092	-0.779057	-0.587848	-0.871512	-0.953265	-1.14501	-0.818272	-0.934239	
248.4	-0.724899	-0.817828	-0.609485	-0.58802	-0.681769	-0.991467	-1.09993	-0.846777	-0.667183	
248.2	-0.833281	-0.820129	-0.823703	-0.715518	-0.869821	-1.09146	-1.28662	-1.01669	-0.733031	
